,city,country,id,last_update,pollutant_avg,pollutant_id,pollutant_max,pollutant_min,pollutant_unit,state,station
179,Bengaluru,India,180,17-03-2018 08:00:00,43,CO,59,29,,Karnataka,"Peenya, Bengaluru - CPCB"
180,Bengaluru,India,181,17-03-2018 08:00:00,34,PM10,72,8,,Karnataka,"Sanegurava Halli, Bengaluru - KSPCB"
181,Bengaluru,India,182,17-03-2018 08:00:00,30,NO2,62,14,,Karnataka,"Sanegurava Halli, Bengaluru - KSPCB"
182,Bengaluru,India,183,17-03-2018 08:00:00,3,SO2,3,2,,Karnataka,"Sanegurava Halli, Bengaluru - KSPCB"
183,Bengaluru,India,184,17-03-2018 08:00:00,37,CO,54,16,,Karnataka,"Sanegurava Halli, Bengaluru - KSPCB"
184,Thiruvananthapuram,India,185,17-03-2018 08:00:00,32,PM2.5,71,11,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
185,Thiruvananthapuram,India,186,17-03-2018 08:00:00,36,PM10,66,23,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
186,Thiruvananthapuram,India,187,17-03-2018 08:00:00,14,NO2,24,6,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
187,Thiruvananthapuram,India,188,17-03-2018 08:00:00,1,NH3,2,1,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
188,Thiruvananthapuram,India,189,17-03-2018 08:00:00,7,SO2,17,2,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
189,Thiruvananthapuram,India,190,17-03-2018 08:00:00,50,CO,57,26,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
190,Thiruvananthapuram,India,191,17-03-2018 08:00:00,40,OZONE,68,24,,Kerala,"Plammoodu, Thiruvananthapuram - Kerala PCB"
191,Dewas,India,192,17-03-2018 08:00:00,84,PM2.5,217,35,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
192,Dewas,India,193,17-03-2018 08:00:00,142,PM10,265,82,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
193,Dewas,India,194,17-03-2018 08:00:00,28,NO2,76,5,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
194,Dewas,India,195,17-03-2018 08:00:00,3,NH3,5,2,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
195,Dewas,India,196,17-03-2018 08:00:00,21,SO2,101,8,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
196,Dewas,India,197,17-03-2018 08:00:00,30,CO,82,12,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
197,Dewas,India,198,17-03-2018 08:00:00,117,OZONE,143,29,,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB"
198,Mandideep,India,199,17-03-2018 08:00:00,128,PM2.5,299,54,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
199,Mandideep,India,200,17-03-2018 08:00:00,176,PM10,281,120,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
200,Mandideep,India,201,17-03-2018 08:00:00,24,NO2,59,2,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
201,Mandideep,India,202,17-03-2018 08:00:00,4,NH3,8,2,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
202,Mandideep,India,203,17-03-2018 08:00:00,33,SO2,61,18,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
203,Mandideep,India,204,17-03-2018 08:00:00,66,CO,95,53,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
204,Mandideep,India,205,17-03-2018 08:00:00,78,OZONE,93,20,,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB"
205,Pithampur,India,206,17-03-2018 08:00:00,60,PM2.5,196,30,,Madhya Pradesh,"Sector-2 Industrial Area, Pithampur - MPPCB"
206,Pithampur,India,207,17-03-2018 08:00:00,129,PM10,178,92,,Madhya Pradesh,"Sector-2 Industrial Area, Pithampur - MPPCB"
207,Pithampur,India,208,17-03-2018 08:00:00,13,NO2,32,5,,Madhya Pradesh,"Sector-2 Industrial Area, Pithampur - MPPCB"
